category	repo	stars	note
apis	joritochip/member-counter	1	Sends Roblox group member count updates to a Discord channel
apis	JotaDO7/Bot-De-Registro-Rodograu-RP	1	Um bot de discord para registro de personagem e veiculo para RPs no roblox do Rodograu 2.0
apis	Jumpesz/RobloxGen2.0	1	Este script Python automatiza a criação de contas Roblox com nomes de usuário únicos e senhas seguras. O principal objetivo deste projeto é educacional, demo...
apis	JustAnEric/LegoProxyRelay	1	A Roblox Proxy for accessing Roblox and Discord Webhook APIs using HTTPService. A custom Python relay for the proxy.
apis	Jyrezo/NodeSignals	1	Node.js Signal Implementation Similar To Roblox's Signals
apis	KailUser/nroller	1	(This is like nico's rng but kind of my copy) and on site
apis	Katelovesfood/zans101stabd	1	Roblox Zans USAR 101st Airborne Division website. NOT OFFICIAL
apis	Kayy9961/Roblox-Price-Monitor---Discord-Bot	1	Monitor automático de precios de items limitados en Roblox con notificaciones en Discord. Rastrea múltiples items y envía embeds personalizados cuando detect...
apis	Khai-08/Roblox-Support-Bot	1	A support bot designed for Roblox Game Communities inspired by Davy Jones Bot (Fisch Support Server). This bot helps Discord servers handle Reports and Appea...
apis	Khaomi/DiscordProxy	1	High performance (?) and non tracking proxy server for Discord
apis	kirbodev/RobloxDevPresence	1	Sets your Discord rich presence to whatever you're doing on Roblox Studio.
apis	koneko/roblox	1	remarks i found while working in roblox studio
apis	kuromian/StateService	1	A roblox module to manage states within a game. https://kuromian.github.io/StateService/
apis	LambWeb/lambweb.github.io	1	An open source roblox web game.
apis	las-r/eternle	1	A guessing game about EToH.
apis	leonardobagi/rbxmaster	1	A browser extension that shows active promocodes in Roblox.
apis	limitedlogic/Soldier	1	A roblox-discord group management integration
apis	LingleDev/roblox-http-server	1	Roblox HTTP Server is my personal REST api for sending data from ROBLOX to Discord webhooks. This is a workaround, since Discord blocked ROBLOX from it's API.
apis	littleBitsman/roblox-oauth2	1	A NPM module for Roblox OAuth2.
apis	ljs418698976/animal-hospital	1	Auto-generated Roblox companion site for Animal Hospital (Anomaly) 🧪. Source: https://ludusdex.com/weekly/2026-06-25/roblox-trend-evening-report/
apis	ljs418698976/be-the-final-boss	1	Auto-generated Roblox companion site for Be The Final Boss. Source: https://ludusdex.com/weekly/2026-07-21/roblox-trend-evening-report
apis	loldo-g/Roblox-API	1	Theres an list of all roblox web api's.
apis	lostmedia/rbxcat-server	1	A webserver for https://github.com/fartg/rbxcat 's analytics and roblox-ocm services written in express!
apis	Luke0S/RobloxChat2TXT	1	A simple python script to download ROBLOX website chats to a TXT file.
apis	lumalol/lumatools	1	Best Multiple Tool Source, Roblox & Discord Tools
apis	m6l3/RobloxApiDocumentation	1	I really hate it when people delete the most useful stuff without any notice. Documentation of almost all Roblox Web APIs
apis	mahmoudplay/Roblox-time-tracker	1	Roblox time tracker (place + api + discord bot)
apis	Makoto-cloud/SambungKata	1	Bot ketik otomatis untuk map sambung kata di roblox dengan kamus kbbi lengkap
apis	MapleSyrupTreee/Roblox-Username-Lookup	1	A simple discord id to roblox username reverse search tool using the verify.eryn.io api
apis	MarciiTheDev/MarcRoPresent	1	A simple Roblox Discord Rich Presence
apis	Mast3rGamers/RbxDeployPrivacy.go	1	Roblox Deployment Channel privacy tracker bot.
apis	meabhi999/Roblox-Library	1	I am designing a website for all the students so that they can get the notes in one website for all subjects easily
apis	MEGA-APPS-REAL/TutoBlox	1	Website Where You Can Find Any Roblox Games Tutorial
apis	michx1337/DTR-Ban-Bot	1	Discord to Roblox Ban Bot!
apis	mimu27938282/Verify-bot-	1	bot de verificación de Roblox para discord
apis	misofe/rxl.js	1	rxl.js is a simplified Roblox API wrapper made for beginners.
apis	misofe/rxl.php	1	Simplified and unique Roblox API Wrapper in PHP
apis	misofe/rxl.py	1	Simplified Roblox API Wrapper in Python
apis	MoaufmKlo/isroblox	1	Node.js module that checks if a request comes from Roblox
apis	mrcingo/roblox.py	1	A lightweight Python wrapper for the Roblox API focused on user data and economy.
apis	MRHASEEN/Roblox-Ranking-System	1	For my Roblox Group
apis	Mullets-Gavin/DiceInput	1	A Roblox wrapper for inputs
apis	MythicalWays5/SCOUT_Extension	1	Open source extension integrating the S.C.O.U.T. web ecosystem at: https://github.com/OdinsEyeRBLX/RobloxSafetyUtilities
apis	myx-labs/api-mecs	1	Roblox player analysis web API, built with Fastify and TypeScript
apis	Najkej/Aurus-Verification	1	Fast open-source Roblox-Discord connection system
apis	nasklik/RGT-BOT	1	Roblox Verify Bot, only working for Roblox Got Talent server.
apis	naufalmulyarizki/roblox-donation-proxy	1	Donation Proxy Roblox Bagibagi.co
apis	NChavezOne/Roblox-Web-Bot	1	Web bot that automates a variety of tasks on www.roblox.com
apis	nextronout/roblox-userid-api	1	get UserID from ROBLOX username
apis	nikos12092006-sketch/roblox-proxy-template	1	Roblox API proxy for donation booths
apis	Nnayuta/DIO-Game-DeveloperRobloxMetaverse-	1	Formação Game Developer: Roblox & Metaverse https://web.dio.me/track/formacao-game-developer-roblox
apis	noahrepublic/GroProxy	1	A light-weight roblox proxy written in Go
apis	NomadWithoutAHome/GrowCaculator	1	Accurate plant value calculator for Roblox Grow a Garden - Windows app + web app with 96-100% accuracy
apis	obamajoepoop/fake-game-logs	1	Sends fake game logs to your discord webhook.
apis	olmac116/StudioRPC	1	Intergrate Discord Rich Presence with your Roblox Studio activity!
apis	onlyfelon/HowToCopyRobloxGames	1	With this extension you can copy and use absolutely any Roblox game.
apis	OssieNomae/rWebhook	1	Roblox Discord Webhook wrapper emulating methods of discord.js
apis	Paficent/Roblox-Api-Tracker-Backend	1	Backend for the API tracker
apis	PandoffYT/Roblox-friends-api	1	A python script that uses the roblox api to spit out a clean list of the desired user id's friends
apis	parikshitveer102-dotcom/rent-god	1	This is a website where we rent acounts of Roblox in extreme cheep prices ❤️❤️❤️
apis	patriotycznyamerykanskiorzelbielik/roblox-2010-gen	1	Generating Roblox's 2010 accounts (PROXYLESS)
apis	Pedro-Brito-09/Party-Chaos-Website	1	Website for my roblox game Party Chaos
apis	Pedro05Souza/UGC_Vault	1	UGC Vault is a powerful and interactive Discord bot designed specifically for Roblox UGC creators and enthusiasts. With a built-in economy system, users can ...
apis	phasenull/nexus	1	ROBLOX Server Management System via Web Panel
apis	Phu1254/Simple-Turtle-Draw-Module-in-Roblox-Studio	1	here's the link that contain README and the module: https://create.roblox.com/store/asset/116820971878342/TurtleDraw ,the link cant be access bcuz of roblox ...
apis	piano1029/ClannySystems	1	Issue tracker for Clanny Systems
apis	PresidentAnvil/roblox-node-screenshare	1	shares ur screen in roblox games
apis	ProHyphonzDaCoder/RobloxVerificationBot	1	This Bot Belongs To uClaster Check him out - https://github.com/uClaster
apis	Project0O/RoSearch	1	Search Roblox Users With The Robloc Api
apis	Propandab12/Propandab12.github.io	1	Portfolio of Propandab12 - Roblox QA Tester, Discord Moderator, & Content Creator.
apis	prrefer/asset-texture-exporter	1	a chrome extension to easily export asset textures from roblox
apis	Pxn-daa/roblox-discord-bot	1	A discord self bot which purpose is to send embeds with hyper links tricking the victim to click it
apis	quicksxlver/roblox-member-exporter	1	A python script which fetches members of a specific role from a Roblox group via the roblox api and exports them to an Excel Spreadsheet with pagination support
apis	qwqtoday/OhioKOS	1	track down your Roblox Ohio enemies with this discord bot
apis	R-unic/rbx-firebase	1	Firebase real-time database wrapper for Roblox
apis	rafaskb/Roblox-EmmyLua-API	1	Simple repository with the Roblox Lua API declared in documented files, with EmmyLua's format in mind.
apis	RavenRBLX/BGC-Umbrella	1	Your friendly neighborhood Roblox account background check bot! THIS BOT ONLY USES PUBLIC ROBLOX APIs, MEANING IT ONLY ACCESSES INFORMATION THAT ALL PLAYERS ...
apis	RbxGen/RobloxGen-Chrome	1	Chrome extension for the RobloxGen project.
apis	real-big-spoon/discord-roblox-ban	1	Ban players in a roblox game with this bot.
apis	RealPrudin/Roblox-Discord-Bot	1	This bot will allow buyers to type ?getscript and it will send them a script.
apis	REALROBLOX/Do-you-play-roblox-	1	think how you feel! http;/roblox.com/
apis	RealScorpionDev/Roll-a-fruit-auto-spinner-Roblox	1	Its just a auto spinner of a rng spin slop game https://www.roblox.com/games/73032629919808/UPD-Roll-a-Fruit
apis	ReturnedTrue/PremiumWrapperRedux	1	Lightweight API for integrating premium benefits into your Roblox game.
apis	RhykerWells/robloxgo	1	(Golang) Go bindings for the Roblox API
apis	Rick-Rish/British-Airways-PTFS	1	British Airways PTFS is the third ever website in PTFS history, with immersive features which will revolutionize air travel in the Roblox Game of PTFS.
apis	Rift-Creations-Inc/rbxthread	1	A Thread API based on pthread but for Roblox!
apis	Ringible/UWP-Version-1.0.1	1	UWP Allows you to join ROBLOX servers & private servers from the ROBLOX app, with this extension, with a simple click, you can be redirected to the app and j...
apis	rlp81/Roblox-Discord-Bot	1	A system to send messages between services
apis	ro-bos-manager/botsbloxs	1	simple roblox playing bots for free users!
apis	ro-js/rojs	1	An ROBLOX package devileried for you to make your hard work a little bit easier.
apis	ro-js/rojs-bot	1	An ROBLOX bot that uses discord.js v13 and ro.js!
apis	Roblo3/Roblo3-Docs	1	Documentation for the Roblo3 SDK for Roblox Lua
apis	robloxboy24/robloxboy24.github.io	1	This is my website! Feel free to explore this and fork it as much as you want!
apis	robloxPlusPlus/robloxPlusPlus.github.io	1	a website that directs to https://scrinshoted.github.io/
apis	Robonyantame/Roblox_http	1	Something made by dissatisfaction with roblox's http acquisition
apis	rolpon-cpp/roblox-yolo-detector	1	Powerful, high-accuracy computer vision models designed for Roblox bots. Trained across multiple games and images for maximum coverage.
apis	RoSeal-Extension/Website	1	RoSeal's website for 2.x and beyond.
apis	RoSwagger/Roblox-Lookup	1	A replica of the Discord bot Kag for Roblox lookup using RoSwagger
apis	rtedpro-cpu/roblox-web-engine	1	A real-time 3D web viewer for Roblox games.
apis	ruder-dev/BloxHub	1	A website that will help roblox developers in every way.
apis	rustybear0/More-hollow-purple	1	Remake of my old hollow purple, can be tested in the game https://www.roblox.com/games/14440833318/Workspace
apis	rynidja/Roblox-rank-Bot	1	Roblox rank Bot written in python
apis	SackBart/RePath-Roblox	1	An Extension that rewrites all require when moving modules
apis	saike/rektmode-roblox	1	Rektmode.gg API adapter for Roblox
apis	Sakupenny/RoGirlfriend	1	Ever wanted a Bot Girlfriend inside of Roblox? Look no further, RoGirlfriend lets you have that!
apis	sbeltranc/yuca	1	An Remake of Roblox Services APIs in C# using micro services
apis	Schrikvis/roblox-success-guesser	1	A browser extension that turns Roblox into a success guesser game.
apis	seanbud/rbx-asset-redirector	1	Roblox artist productivity tool. Lightweight browser extension for redirecting rbxassetid:// links to asset pages.
apis	seaofvoices/npmwally	1	A command line utility to convert Luau npm packages to wally packages
apis	searxh/Stars-GFX	1	Roblox GFX Commission website
apis	SegoGithub/old-rblx-logo	1	Extension to change the 2022 Roblox logo to the 2018-2022 Roblox logo
apis	Seraphjs2/Regstrap-Roblox	1	RegStrap is an Android companion app for Roblox that automatically detects when you join a server and provides useful information such as server region and p...
apis	session42studios/blueberry	1	Blueberry’s purpose is to allow developers to display a ban screen instead of instantly kicking the player. Similar to ROBLOX’s website account ban/warning s...
apis	setup-rbxcdn/roblox-rdd-downloader	1	Locally download Windows/Mac Roblox deployments directly from your machine. Headless Node.js reimplementation of latte-soft/rdd's Windows manifest-assembly a...
apis	sewnie/rbxweb	1	A Go package that provides access to hand-picked Roblox web-based APIs.
apis	ShibaRed4/Enigma	1	A simple lightweight library to embed a Roblox-Like Lua system into the web.
apis	shprttx/zprtx	1	YouTube, Discord, Roblox. Сборка объединившая в себе версию от Lux1de и версию от Flowseal. Вся утилита сведена к 1 стратегии general (ALT)
apis	SideTech-Roblox/SideTech-Verification	1	Cross-platform verification system for SideTech services.
apis	SipinSlowly/automatic-roblox-group-claimer	1	this uses the Roblox api to automate group ownership, this allows you to claim such group with only the ID.
apis	SipinSlowly/ROBLOX-Extension-Logger-Tutorial	1	BEST Roblox Extension Logger with the easiest instructions.
apis	siubikYT/Build-Logic-HTTP-Wrapper	1	A wrapper for an http server for the game "Build Logic!" on roblox made in C++
apis	Skribb11es/Console-Func-Lib	1	A simple library designed to be an extension of the Roblox log service
apis	SlapBattlesRepository/Frostbite-Abuser	1	Frostbite abuser is a script that can be used in the game "slap battles" which can be found here https://www.roblox.com/home
apis	snoopyben79/bloxspark	1	BloxSpark is a blog serving news article around Roblox, there will be codes, game guides and so much more!
apis	SomeoneAndSomethingOnGithub/roblox.py	1	A rudimentary python api wrapper for Roblox.
apis	strivingforperfection/BanBot	1	This is a Discord bot I made for integration with Roblox for banning folk via Discord.
apis	strivingforperfection/DiscordRobloxJoinLogger	1	A join logger for Roblox that uses discord webhooks.
apis	stubline9-pixel/roblox-blox	1	A scalable Discord Blox economy and XP bot built with Python and CockroachDB.
apis	SubParSuperCar/rbx-value-wrapper	1	A Roblox Luau class for encapsulating values.
apis	SuperCater/WrapBlox	1	A promise based wrapper for the Roblox API
apis	SxrenOMG/metro-live-rp.web	1	Metro Live RP 🚨 Tauche ein in eine spannende Roblox-RP-Welt! Erlebe realistische Einsätze, Polizei, Feuerwehr, Rettungsdienst und viele weitere Fraktionen. W...
apis	synpixel/roblox-api-types	1	A collection of Luau type definitions for the Roblox web apis
apis	T1nkq/NullCore	1	Advanced multi-instance Roblox client focused on automation, performance and seamless bot management. Built for stable farming, fast account handling and eff...
apis	tanjuryonline-wq/Silentnatt-digital	1	Website jualan item Roblox pakai PHP, CSS, dan MySQL
apis	Tasar1mc1-Reis/drivex	1	drive roblox tişörtü : https://drive.google.com/drive/folders/1KXrhKdNuhFbZ9JeQTbcpSQbXkMr64A5Q?usp=sharing
apis	Tebbot123/commisionme	1	A discord bot made for Roblox GFX artist's
apis	ternw/Discord-fake-Roblox-proofs	1	A educational purposes only discord Roblox Proof bot with bloxfruits and Roblox amount
apis	TesseractSoftwares/Praxsuite-SDK-Lua	1	SDK for implementing praxsuite into Lua based games: Roblox, FiveM, GarrysMod
apis	Testplate/roblox-reporter-tool	1	A high-performance, multi-threaded utility for automated asset reporting with built-in region unlocking and proxy rotation.
apis	thecondoalt/neocities-roblox	1	Roblox module to interact with the neocities.org API.
apis	THECRAZEDPOTATTO/IQ-Plus-Plus	1	Better RBG for games like GTA5, Roblox, Minecraft and Apps like Discord and Snapchat
apis	TheFlyingKangaroo147/qantas-group-aero	1	Qantas Group Aeronautica Roblox Github Site
apis	TheGittlerDiddler/Roregion-Clean	1	roregion chrome extension for roblox but cleaned of suspicious files
apis	TheNexusAvenger/Nexus-Wrapped-Instance	1	Extension of Nexus Instance for adding functionality to Roblox instances.
apis	TheStoway/PaginaWeb	1	Sitio web oficial de TheStoway / Marca personal enfocada en el desarrollo de juegos de Roblox y proyectos de software de código abierto.
apis	TheVoid0000/Bot-o	1	Um simples script no jogo do Roblox "fuja do tsunami" com finalidade de agilizar na fusão da máquina com exploração de remots events
apis	Toasticle/simpblox	1	Simplify the Roblox API endpoints with a load of functions made for your ease.
apis	ToldFable/ApiWiki404FinderCrawlerForRoblox	1	searches through Roblox's Api wiki to find 404 pages
apis	tomihad-ul-aibak/Roblox-Verification-Bot	1	This is a public bot made for the simple usage of being a Roblox Verification Bot! There is some steps to do but the rest is easy.
apis	totoygamingyt/roblox-discord-server-gitbook	1	Roblox Discord Servers Useful Informations
apis	TqnvirrDev/roblox-ranking-bot	1	This is a roblox ranking bot made by Tqnvirr
apis	TRENATTI/CLEPSYDRA	1	Documents of any changes on the Roblox API.
apis	TylrPopcorn/Basic-Hat-API-example	1	Created with Redux. This will show you current and recent hats from ROBLOX.com. It is very simple and is just to show how to implement.
apis	uk1you/playlater-ext	1	roblox popup library extension
apis	Unreal-Works/rojo-npm	1	`npx rojo` Rojo enables Roblox developers to use professional-grade software engineering tools.
apis	upleap/aur	1	roblox trading bots. shut down 10/12/24
apis	urban-arts/image-upload	1	Simple HTTP-based system to upload images from a local machine to a ROBLOX game live and display it.
apis	vabajaa/roblox_verfication	1	A open source Discord Roblox verification system
apis	Vigarion/roblox-atom-lua	1	ROBLOX Lua support in Atom https://atom.io/
apis	volmaksDev/Roblox-Clothing-Steal-Extension	1	I made this browser extension for fun, I think it makes life easier for designers
apis	VortexDQ/Roblox-Tracker	1	This is a open-basic roblox user tracker. It can be used on discord and is for own/open usage. It tracks users on roblox preferences/status.
apis	vq9o/RobloxPHP	1	Standalone PHP Library for interacting with the Roblox API.
apis	Vyon/VSC2RBX	1	Execute scripts from VSCode in Roblox Studio!
apis	wangxiaoer2026/newwebplay-resources	1	New Web Play resource index: player-friendly game guides, hubs, tools, and checklists.
apis	watcherlsd/OSINT-RobloxTool	1	Herramienta de uso de investigacion publica usando diferentes API que el mismo roblox proporciona, brindando informacion adicional sobre cualquier usuario de...
apis	WaviestBalloon/ProxBlox	1	A simple, flexable Roblox HTTP Proxy for both Roblox APIs and Discord webhooks. Using Fastify and Axios.
apis	WebGL3D/RobloxNpm	1	For the unofficial Roblox npm, don't expect much
apis	WebhookLib/WebhookLib	1	WebhookLib is a comprehensive Discord webhook solution designed specifically for Roblox server environments. It provides enterprise-grade functionality with ...
apis	whizsk/proccessidfinder	1	made in C because C>C++ cope. use WINDOW NAME and not process name. (e.g. Roblox, @usernameidfk - Discord)
apis	winfamy/guzzleblox	1	A simple ROBLOX wrapper written in PHP
apis	winfamy/nodeblox	1	A Node-based ROBLOX wrapper.
apis	wizer47123/ShadowTable-Roblox	1	This module is basically an OOP table wrapper with a .Changed event(using FastSignal)
apis	x6nny/Collection	1	A lightweight, type-safe wrapper around Roblox’s CollectionService for managing instance tags and tag-based events in Luau.
apis	xalonious/Krestia	1	A discord to roblox ranking bot
apis	xJisatsu/Multi-Tools-V2	1	Discord, Roblox and TikTok tools
apis	xSting7/BetterAnalyticsService	1	BetterAnalyticsService is a wrapper for Roblox's AnalyticsService API
apis	yanlvl99/lune-custom-build	1	A standalone Luau runtime. Write and run programs, similar to runtimes for other languages such as Node, Deno, Bun, or Luvit for vanilla Lua. Lune provides f...
apis	YoungMGD/my-first-website	1	first website to my long journey of proggramming shoutout to zenixoffc on Roblox I guess
apis	ZainabShahzad0907/Roblox-Portfolio-Website	1	portfolio website for roblox work
apis	Zankyz/Xenon_Frame_Work	1	Ce script permet de logger les événements importants d'un serveur Roblox sur Discord via des webhooks.
apis	ZeleMarsh7mary/roblox-jobid	1	Browser extension to join a specific Roblox server by Job ID directly from a popup
apis	Zenturocloud/prc-roblox-sdk-python	1	A comprehensive, developer-friendly Python wrapper for the Police Roleplay Community (PRC) Roblox API. This SDK provides intuitive access to PRC server featu...
apis	Zenturocloud/WIP-prc-roblox-sdk-node.js	1	A comprehensive, developer-friendly node.js wrapper for the Police Roleplay Community (PRC) Roblox API. This SDK provides intuitive access to PRC server feat...
apis	zhenga8533/bss-trader	1	Bee Swarm Simulator Trader is a simple, fan-made web application designed for players of Bee Swarm Simulator on Roblox to create clean and shareable trade li...
apis	zhul498/discord-bot-public	1	A ROBLOX Group management service tied to a Discord bot.
apis	ZirconDeveloper/Auto-Trade-Extension	1	A nice made Auto-Trade Roblox System.
apis	zirou32/Roblox-Webhook	1	Send messages to Discord using webhooks easily! This modulescript will allow you to do it in a very simple and fast way.
apis	Zyrakia/rbxts-ping	1	Dead simple roblox-ts bindable event wrapper.
apis	RoPalRoblox/RoPal	0	The open-source code to RoPal, the Roblox trade helper extension, available soon on the Chrome Web Store
audio	Zephkek/MIDIPlusPlus	70	A high performance MIDI Utility for virtual pianos
audio	mikey820/PleaseDontStopTheMusic	64	Prevents apps (e.g. Roblox) from pausing your background music
audio	clay-rip/robloxAssetDownloader	26	A desktop application built with Electron that allows you to download Roblox assets, including private audio files and game assets.
audio	michioxd/osu-space	26	Custom game mode for osu!(lazer) based on Sound Space (Roblox) and Rhythia game.
audio	clv-2/robloxmic	12	Uses Roblox's voice safety classifier to pre-filter microphone input
audio	GreatCorn/MIRP	11	MIDI Input to Roblox Piano program.
audio	Samuraikiddo/KirbyGames	11	Hello, Welcome to KirbyGames. We offer games like roblox, minecraft, and MORE. We also offer, discord unblocked and spotify unblocked.
audio	poopfartgamer/Roblox-Audio-Fetcher-Downloader	10	A GUI tool to download audio assets from Roblox.
audio	TominoCZ/Sound-Space-Map-Editor	9	A level editor for the game Sound Space: https://www.roblox.com/games/2677609345/Sound-Space
audio	EgoMoose/character-sounds	8	Package for playing standard character sounds on Roblox avatars
audio	AudioScapeInc/RobloxBoomboxPlugin	7	Documentation and User Feedback on Audioscape's Music Boombox Plugin for Roblox
audio	ShadowDaughter/Roblox-Asset-Reuploader	6	A tool to easily transfer animations and audios from one account to another.
audio	Burkino/roblox-return-oof-sound	5	This simply program will replace Roblox's new OOF sound with the one we historic one.
audio	alexiscool123/dawdsa	4	--Derp gun Player = game:GetService("Players").RustyClouds Character = Player.Character PlayerGui = Player.PlayerGui Backpack = Player.Backpack Torso = Chara...
audio	Lukejdjd/roblox-audio-fetcher	4	Allows you to fetch and download private Roblox Audios
audio	Masken8/Studify	4	Spotify Integration for Roblox Studio
audio	OyasumiOnoderaPunpun/JJS-Piano-Bot	4	Auto-play piano sheets in Jujutsu Shenanigans (Roblox)
audio	tiagoodevs/roblox-musicloader	4	Custom music loader for roblox (hubs, main menus, u name it)
audio	drHaxx/Roblox-starter-kit	3	This is a starter kit for anyone making a Roblox game. This includes scripts for Player Movements, Health, Inventory system, UI, NPC interactions, a Combat s...
audio	FairyKey/FairyKey	3	A virtual piano sheet scroller
audio	jluims/RobloxDeathSoundReverter	3	Reverts the ROBLOX death sound back to OOF (rather than a weird sneeze).
audio	juanitoelorigi/Roblox-character-in-java3d-library	3	Roblox characters in Java 3D, libraries and dependencies, dynamic behavior, walking, dancing, and music playback.
audio	metauni/orb	3	Integration of metauni with Roblox spatial voice and automated recording
audio	pranavn21/Functioning-Roblox-Phone	3	Working phone developed in Roblox Studio with working call/receiving w/ chat filtering, notes, music w/ settings, etc. Specifically made for the Roblox metav...
audio	SegoGithub/oof-is-back-rust	3	Lightweight program to change your Roblox death sound to a different sound included in the program or the original oof sound.
audio	ShadowDaughter/Roblox-Asset-Reuploader-Plugin	3	A tool to easily transfer animations and audios from one account to another.
audio	ShantnuS/oof-on-close	3	Chrome extension that plays the roblox "oof" sound when a tab is closed.
audio	Visionishere/VCBlox	3	A extension that tells you if you are banned from using Roblox voice chat, and if so, HOW LONG!
audio	Whiteoak-Studios/Echo	3	Echo is a Roblox reactive sound module that provides useful features such as binds, events, actions, signals - all to reduce tracking datamodel changes.
audio	xelnae-r/Sound-Manager	3	A Roblox-TS Library for Sounds
audio	Zgoly/robloof	3	Return roblox "oof" sound
audio	852DuartePls/RobloxMusicSubmission	2	My very first roblox music submission system that might come in handle for others
audio	Awire9966/SoundBlox	2	SoundBlox lets you replace any roblox built in sound with another one.
audio	axdaxis/robloxaudiodownloaderissues	2	roblox audio downloader issues
audio	Ayoree/Midi2Qwerty-plus	2	MIDI input to Qwerty output, playback midi files as Qwerty
audio	AzelProductionsStudio/RBXL-26-Web-Extension	2	This is a web extension that decorates the Roblox.com website, with an animated background, music, and super satisfying UI, please be careful tho, as this wa...
audio	ervareza/Virtual-Piano-Roblox-Player	2	Automate MIDI (.mid) playback on Roblox Virtual Piano by converting MIDI events into keystrokes with caching, tempo accuracy, and simple file picker GUI.
audio	Fxkez/StreetBeatsMidiConverter	2	A Midi converter for the roblox street beats game
audio	Hasnain123Raza/ROBLOX-Audio-Analyzer-and-Visualizer	2	A collection of two modulescripts providing helper functionality for creating an audio visualizer on ROBLOX
audio	hexa0/wrap-remainder-loop	2	Manually corrects looping VGM wave files to wrap the remainder on the second loop, this is made to primarily work with FL Studio so it may not work work with...
audio	Hyperion60/Roblox-Extractor	2	Extractor Temp files Roblox (Sound + Pictures)
audio	MelvinSGjr/auto-piano-roblox-remake-linux-edition	2	Auto Piano Remake for Roblox (Linux)
audio	misaelisgone/roblox-download-audio	2	shitty node js script made for downloading audios using the assetdelivery api
audio	SegoGithub/oof-is-back	2	Change your Roblox death sound to a different sound included in the program or the original oof sound.
audio	SharkyA7/3DRBX-MT	2	Official Open Source 3DRBXMT / download Roblox avatars & assets as OBJ/GLB for Nomad Sculpt, Prisma 3D, Blender & more. Many features such as Avatar, Catalog...
audio	snibk/bulk-audio-reuploader	2	A copy of my original Roblox bulk audio reupload tool used in the audio asset apocalypse of 2022 - MOST LIKELY NO LONGER WORKING, use as a reference only (if...
audio	TylerHobanDotCom/AutoOOF	2	Classic death sound replacer for Roblox Game Client
audio	W6Z/Roblox-Oof-Replacer	2	A python script that replaces the roblox oof sound after they replaced it.
audio	ZennFake/TTMLProcesser	2	An Apple Music TTML Processer in roblox
audio	4x8Matrix/VoiceChat-SDK	1	A Roblox Luau module to allow developers to manipulate Voice-Chat inside of their Roblox Experiences!
audio	akidinatophat/RestoreOofSound	1	just a batch script to change the roblox oof sound for the 32-bit client
audio	angelkireina/roblox-piano-soundfont-makers	1	FL Studio 20 Manageable files for making Roblox piano compatible soundfonts.
audio	astraalunaa/fe2io-python	1	FE2.IO Roblox Music Player recreated with Python
audio	AuroxNova/Roblox-Audio-Extractor	1	A tool for extracting and converting audio files from Roblox cache with a single click
audio	Axtorz/ForestBot	1	Le bot Discord Officiel du jeu Roblox ForestVoice
audio	barbecueIs/barbs-snatcher	1	Free Roblox audio snatcher designed to download and/or replace sound instances in a Roblox Studio instance.
audio	BenVibez/Roblox-Wild-West-Midi-Files	1	A collection of quality MIDI files for Roblox Wild West that don't sound terrible
audio	benztossswkc16zz/BenzSoundID	1	Sound Player for Roblox
audio	bleov/roblox-resources	1	A collection of licensed music & textures for developing roblox games
audio	catsrieldreemurr/Built_Under_Pressure	1	A Terraria Texture Pack that replaces the in-game music with music from ROBLOX DOORS, Pressure and The Foundation.
audio	CrispyDesires/Replace-Roblox-Death-Sound-Rewritten	1	Replace Roblox's death sound with ease! Rewritten to be in a FAR more readable language -- Rust!
audio	downj05/VirtualPiano	1	Virtual piano desktop application that uses the keyboard layout present in virtualpiano.net, ROBLOX and GMOD.
audio	DuyanhLexq/tool-piano-roblox-4.0	1	tool dành cho những anh zai thích phông bạt piano nhé
audio	EatYourSheep/OOF-Circuit-Playground-Express	1	All this does is play "OOF" sounds. A-button for the Roblox "OOF" sound, and B for the Minecraft one. Also turns on LEDs, for fancy colors.
audio	EDLLT/RobloxAndroidMidiTouch	1	A solution for connecting a midi device with the Roblox client on Android
audio	Expination/QORoblox	1	QORoblox is a texturepack for Roblox that includes many fixes and changes to both sounds and textures!
audio	Flour1009/RobloxAutoComposer	1	Скрипт генерирует случайные мелодии для Roblox Piano в стилях pop, ballad и ambient, автоматически выбирает тональность, темп и аккорды, а затем воспроизводи...
audio	gert7/piano	1	Flutter for Roblox UIs
audio	goldyea/RobloxLyricsBot-NEW	1	(V2.0) It's in the name. Roblox song singer, let others request
audio	goldzo/RobloxLyricsBot	1	It's in the name. Roblox song singer, let others request
audio	Gustavo10Destroyer/roblox-radio	1	Sistema de Rádio para Roblox
audio	IAM9PASA/roblox-audio-publisher	1	idk just learning rust lang
audio	J1ck/roblox-midi-parser	1	Midi Parser Plugin for Roblox
audio	jasperdevs/VirtualPianoPedia	1	Roblox virtual piano sheets with variants, favorites, conversion, and sampled piano preview
audio	JinLivoir/auto-piano	1	Это просто авто проигрыватель списка с песней. Its just a auto song sheet player.
audio	Jreejuggin/FallingFurni	1	Falling Furni is a multiplayer Roblox game inspired by musical chairs, where players compete to survive falling furniture through multiple elimination rounds...
audio	jvqze/FE2-Audio-Uploader	1	fe2.jaylen.nyc is a subdomain for a Roblox game called Flood Escape 2 Community Maps!
audio	k4lim/oof	1	A discord bot which will play the roblox death sound when someone writes ".oof"
audio	Lanred-Dev/echo	1	A audio system for Roblox.
