category	repo	stars	note
aitools	iamjrmh/MCPBridge	3	MCPBridge is a Roblox Studio plugin that acts as a real-time bridge between your game and AI-powered coding tools. Once installed, it opens a lightweight HTT...
aitools	MakeThingsMan/GeneralRobloxAiModule	3	A generalized module for roblox ai
aitools	Mussy-hub/UGCForge-Showcase	3	AI-assisted workflow for Roblox-ready UGC accessories — product showcase.
aitools	Tubterfly/Roblox-Finance-Tracker-V3-Turkish	3	Roblox grup finans analizini ve kıyafet farm bilgisayarlarının (Agent) donanım telemetrisini tek merkezde birleştiren profesyonel yönetim paneli. Electron & ...
aitools	zzkarna/vibe-blocks-mcp	3	Connects Roblox Studio to AI coding editors via the Model Context Protocol (MCP), enabling AI-assisted game development within your Roblox Studio environment.
aitools	aduermael/robld	2	One CLI for your agent to build Roblox games without touching Studio.
aitools	arad1367/Educational_Game_Roblox_UniLi	2	This is an educational game developed in Roblox designed to test students' knowledge of Localized AI concepts.
aitools	Bbasche/roblox-ai	2	Build Roblox games by chatting with Claude AI — no coding experience needed
aitools	beknuramantay2-del/roblox-studio-skill	2	Agent Skill for Roblox Studio development via MCP: cartoon/kid-friendly UI, clean Luau architecture, bug-free scripts. Works with Claude, opencode and Codex.
aitools	bxsexc/dsh-roblox-studio	2	DeepSeek Harness native plugin: Settings UI for the Roblox Studio MCP bridge - list connected Studio instances, pick the active one, and expose the selection...
aitools	CyanoTex/bloxus	2	Bloxus — Roblox Knowledge Engine for Claude Code
aitools	daehounan/agency-agents-fork	2	163 specialist Claude Code agents + 24 routing skills + 16 strategy playbooks. Korean/Japanese Business Navigators, game-dev (Unity/Unreal/Godot/Roblox/Blend...
aitools	dnouri/roblox-pi-template	2	AI-assisted Roblox development template. Describe what you want, get working code synced to Studio in real-time.
aitools	godgaming-coder/ROBLOX-ALTERNATIVE	2	WITH THE HELP OF HTML AND LITTLE HELP OF AI AND JS,CSS ALSO.
aitools	huso3123/gaming-ai-corpus	2	It provides you with datasets from certain games, which you can use to create AI.
aitools	improdead/Vector-roblox	2	AI assistant for roblox
aitools	ItsQuentar/robloxstudio-mcp-remake	2	robloxstudio-mcp-remake Boshyxd Remake By ItsQuentar
aitools	ItsyoXero/Weird-Roblox-Ai-bot-Open-Source	2	An Roblox AI that can play games like Roblox and Minecraft.
aitools	Lettuce144/roblox-middelware-api	2	API made in ASP.NET for a Roblox game. It enables a chat function that generates and executes scripts via a (LLM) on Hugging Face.
aitools	MAAZBINFAZAL/Roblox-Styler-Agent	2	🕹️ RoboStyler is an AI-powered Roblox outfit agent 👕🤖 that lets players style avatars with natural language ✍️ or voice 🎙️. Using Coral Protocol 🌐, Mistral A...
aitools	RaRdq/roblox-mcp	2	MCP for AI powered roblox game creation
aitools	RezaniLuiz/CodyMCP	2	Turn your AI Chat in a Roblox Studio MCP Editor
aitools	sanct-os/TyroneAI-RobloxVC	2	Meet TyroneAI, the cutting-edge voice chat assistant meticulously engineered to elevate your Roblox gaming experience. Jerome AI combines advanced natural la...
aitools	Shubhsahu08241/Roblox-Buddy-AI	2	A best website for all roblox user
aitools	shysolocup/Rented-Noisai	2	information about the ai in the roblox game Rented
aitools	Spiritedbuilder/Liefy	2	An Extension tool that connects a web ai directly to your Roblox studio!
aitools	tabnine/tabnine-roblox-studio-ide	2	Roblox Studio IDE client for TabNine
aitools	wcAmon/roblox-game-dev-skill	2	Claude Code plugin/skill for Roblox game development using Studio MCP - battle-tested patterns from a full TPS shooter migration
aitools	yllvar/Roblox-DeepSeek-Intergration	2	Integrate DeepSeek AI with Roblox Studio to generate game content dynamically.
aitools	Zelqorix/rbxcraftai	2	RbxCraft·AI is an AI-powered Roblox development tool that generates production-ready Lua code. From simple scripts to full game architectures — describe anyt...
aitools	3dhuboz/roblox-forge	1	AI-Powered Roblox Game Builder - Build amazing Roblox games with AI assistance. No Studio required.
aitools	adrianmikula/RobloxAssetGenerator	1	Generate Roblox store assets using AI
aitools	afrxo/roblox-agent-skills	1	Anthropic Agent Skills for Roblox dev.
aitools	agents-dog/-Pikachu-Model-Used-for-roblox-Low-Poly-And-Cartoon-Style-Made-By-Agent-	1	🌟・I Created A Cute And Cartoon Style Pikachu, Uses For Roblox Only, Low Poly Style
aitools	ahmadprime221-boop/Roblox-Analyzer	1	Прога для проверки аккаунтов в Roblox. Показывает забанен чел или нет, сколько друзей, игры и всякое такое. Что умеет: Проверяет статус бана (через 5 разных ...
aitools	archofmac-png/clawblox	1	AI-native Roblox testing platform
aitools	assssasss/FangstrapFinalForm	1	this is a self made roblox client like fishstrap, bloxstrap cuz i was bored (credits to gemini for creating the icon)
aitools	axia4133/ai-roblox-game-maker	1	AI-powered Roblox game generator using GPT + Lua scripting
aitools	baabdsallam-bot/luau	1	You are an AI agent specialized in Roblox developmen Use the documentation to provide accurate, detailed answers and best practices for scripting, game desig...
aitools	BaoDat955/Roblox-Safe-Overlay-CPP	1	My first C++ project, built while learning C++ with AI assistance.
aitools	bebeomatnick11/Forget-AI	1	REAL AI IN ROBLOX!!!
